4.09	2.19	5.82767
4.079	2.179	5.71103
4.0669	2.1669	5.58379
4.05359	2.15359	5.44515
4.03895	2.13895	5.29426
4.02284	2.12284	5.13029
4.00513	2.10513	4.9524
3.98564	2.08564	4.75982
3.96421	2.06421	4.55183
3.94063	2.04063	4.32786
3.91469	2.01469	4.08753
3.88616	1.98616	3.83077
3.85477	1.95477	3.55795
3.82025	1.92025	3.27006
3.78228	1.88228	2.96898
3.7405	1.8405	2.65781
3.69455	1.79455	2.34143
3.64401	1.74401	2.02711
3.58841	1.68841	1.72562
3.52725	1.62725	1.4526
3.45998	1.55998	1.23077
3.38597	1.48597	1.09307
3.30457	1.48597	1.06018
3.30457	1.53074	1.05737
3.25532	1.57999	1.04676
3.24178	1.59354	1.04466
3.22688	1.60843	1.04277
3.22688	1.62482	1.04176
3.20885	1.64285	1.03954
3.20885	1.66268	1.03908
3.18704	1.68449	1.03645
3.17505	1.69648	1.03539
3.17505	1.70968	1.0351
3.16053	1.7242	1.03382
3.15255	1.73218	1.03329
3.15255	1.74096	1.03308
3.14289	1.75062	1.03244
3.14289	1.76125	1.03236
3.1312	1.77294	1.03157
3.12477	1.77937	1.03124
3.12477	1.78644	1.03117
3.11699	1.79422	1.03077
3.11271	1.7985	1.0306
3.11271	1.8032	1.03053
3.10753	1.80838	1.03032
3.10753	1.81407	1.03028
3.10127	1.82034	1.03002
3.09782	1.82378	1.02991
3.09782	1.82757	1.02988
3.09366	1.83174	1.02974
3.09366	1.83633	1.02972
3.08861	1.84137	1.02955
3.08584	1.84414	1.02948
3.08584	1.8472	1.02946
3.08248	1.85055	1.02937
3.08248	1.85425	1.02936
3.07842	1.85831	1.02925
3.07618	1.86054	1.0292
3.07618	1.863	1.02919
3.07348	1.8657	1.02913
3.07051	1.86868	1.02908
3.07051	1.87195	1.02906
3.06691	1.87554	1.02899
3.06691	1.8795	1.02899
3.06256	1.88386	1.02891
3.06136	1.88505	1.02889
3.06136	1.88637	1.02888
3.05991	1.88782	1.02886
3.05832	1.88941	1.02885
3.05832	1.89116	1.02884
3.05639	1.89309	1.02881
3.05639	1.89521	1.02881
3.05406	1.89755	1.02878
3.05406	1.89883	1.02878
3.05265	1.90024	1.02876
3.05265	1.90179	1.02876
3.05094	1.9035	1.02874
3.05	1.90444	1.02873
3.04896	1.90547	1.02872
3.04896	1.90661	1.02872
3.04771	1.90786	1.02871
3.04771	1.90924	1.02871
3.0462	1.91075	1.02869
3.0462	1.91241	1.02869
3.04437	1.91424	1.02868
3.04336	1.91525	1.02867
3.04336	1.91636	1.02867
3.04215	1.91758	1.02866
3.04215	1.91892	1.02866
3.04067	1.92039	1.02865
3.03986	1.9212	1.02865
3.03986	1.92209	1.02865
3.03888	1.92307	1.02864
3.03888	1.92415	1.02864
3.03769	1.92534	1.02864
3.03769	1.92599	1.02864
3.03698	1.92671	1.02863
3.03658	1.92711	1.02863
3.03658	1.92754	1.02863
3.0361	1.92802	1.02863
3.0361	1.92854	1.02863
3.03552	1.92912	1.02863
3.03521	1.92944	1.02863
3.03521	1.92979	1.02863
3.03482	1.93017	1.02863
3.03482	1.9306	1.02863
3.03436	1.93106	1.02862
3.0341	1.93132	1.02862
3.0341	1.9316	1.02862
3.03379	1.93191	1.02862
3.03379	1.93225	1.02862
3.03341	1.93263	1.02862
3.03321	1.93283	1.02862
3.03298	1.93306	1.02862
3.03298	1.93331	1.02862
3.03271	1.93358	1.02862
3.03271	1.93389	1.02862
3.03238	1.93422	1.02862
3.03238	1.93458	1.02862
3.03197	1.93499	1.02862
3.03175	1.93521	1.02862
3.03175	1.93545	1.02862
3.03148	1.93572	1.02862
3.03148	1.93601	1.02862
3.03116	1.93633	1.02862
3.03116	1.93651	1.02862
3.03097	1.93671	1.02862
3.03086	1.93682	1.02862
3.03086	1.93693	1.02862
3.03073	1.93706	1.02862
3.03073	1.93721	1.02862
3.03057	1.93737	1.02862
3.03057	1.93754	1.02862
3.03038	1.93773	1.02861
3.03027	1.93783	1.02861
3.03016	1.93795	1.02861
3.03016	1.93808	1.02861
3.03002	1.93822	1.02861
3.03002	1.93837	1.02861
3.02985	1.93854	1.02861
3.02985	1.93873	1.02861
3.02965	1.93893	1.02861
3.02953	1.93904	1.02861
3.02953	1.93917	1.02861
3.0294	1.9393	1.02861
3.0294	1.93945	1.02861
3.02923	1.93962	1.02861
3.02923	1.93971	1.02861
