t	y
453	15,1127
454	15,1113
455	15,1099
456	15,1085
457	15,1072
458	15,1059
459	15,1045
460	15,1032
461	15,1019
462	15,1007
463	15,0994
464	15,0982
465	15,0969
466	15,0957
467	15,0945
468	15,0933
469	15,0921
470	15,091
471	15,0898
472	15,0887
473	15,0875
474	15,0864
475	15,0853
476	15,0842
477	15,0832
478	15,0821
479	15,0811
480	15,08
481	15,079
482	15,078
483	15,077
484	15,076
485	15,075
486	15,0741
487	15,0731
488	15,0722
489	15,0712
490	15,0703
491	15,0694
492	15,0685
493	15,0676
494	15,0667
495	15,0659
496	15,065
497	15,0642
498	15,0633
499	15,0625
500	15,0617
501	15,0609
502	15,0601
503	15,0593
504	15,0585
505	15,0577
506	15,057
507	15,0562
508	15,0555
509	15,0548
510	15,054
511	15,0533
512	15,0526
513	15,0519
514	15,0512
515	15,0506
516	15,0499
517	15,0492
518	15,0486
519	15,0479
520	15,0473
521	15,0467
522	15,046
523	15,0454
524	15,0448
525	15,0442
526	15,0436
527	15,0431
528	15,0425
529	15,0419
530	15,0414
531	15,0408
532	15,0402
533	15,0397
534	15,0392
535	15,0386
536	15,0381
537	15,0376
538	15,0371
539	15,0366
540	15,0361
541	15,0356
542	15,0351
543	15,0347
544	15,0342
545	15,0337
546	15,0333
547	15,0328
548	15,0324
549	15,0319
550	15,0315
551	15,0311
552	15,0307
553	15,0302
554	15,0298
555	15,0294
556	15,029
557	15,0286
558	15,0282
559	15,0278
560	15,0275
561	15,0271
562	15,0267
563	15,0264
564	15,026
565	15,0256
566	15,0253
567	15,0249
568	15,0246
569	15,0243
570	15,0239
571	15,0236
572	15,0233
573	15,0229
574	15,0226
575	15,0223
576	15,022
577	15,0217
578	15,0214
579	15,0211
580	15,0208
581	15,0205
582	15,0202
583	15,02
584	15,0197
585	15,0194
586	15,0191
587	15,0189
588	15,0186
589	15,0184
590	15,0181
591	15,0178
592	15,0176
593	15,0174
594	15,0171
595	15,0169
596	15,0166
597	15,0164
598	15,0162
599	15,0159
600	15,0157
